59.885 85
59.895 98
59.905 90
59.915 99
59.925 140
59.935 199
59.945 219
59.955 280
59.965 323
59.975 314
59.985 313
59.995 316
60.005 269
60.015 195
60.025 178
60.035 129
60.045 90
60.055 79
60.065 96
60.075 83
60.085 100
60.095 145
60.105 203
60.115 246
60.125 302
60.135 325
60.145 343
60.155 380
60.165 355
60.175 299
60.185 287
60.195 247
60.205 200
60.215 171
60.225 105
60.235 88
60.245 92
60.255 86
60.265 116
60.275 129
60.285 191
60.295 273
60.305 320
60.315 361
60.325 396
60.335 389
60.345 399
60.355 394
60.365 366
60.375 286
60.385 237
60.395 167
60.405 117
60.415 108
60.425 104
60.435 132
60.445 187
60.455 234
60.465 327
60.475 456
60.485 568
60.495 681
60.505 746
60.515 825
60.525 843
60.535 801
60.545 692
60.555 641
60.565 573
60.575 400
60.585 335
60.595 218
60.605 169
60.615 125
60.625 150
60.635 186
60.645 286
60.655 334
60.665 525
60.675 683
60.685 753
60.695 899
60.705 904
60.715 1019
60.725 932
60.735 864
60.745 787
60.755 684
60.765 492
60.775 391
60.785 261
60.795 166
60.805 141
60.815 196
60.825 288
60.835 404
60.845 626
60.855 895
60.865 1139
60.875 1408
60.885 1619
60.895 1727
60.905 1855
60.915 1889
60.925 1758
60.935 1592
60.945 1327
60.955 1091
60.965 780
60.975 527
60.985 360
60.995 220
61.005 223
61.015 323
61.025 558
61.035 871
61.045 1294
61.055 1705
61.065 2260
61.075 2756
61.085 3139
61.095 3410
61.105 3523
61.115 3525
61.125 3468
61.135 3043
61.145 2780
61.155 2073
61.165 1625
61.175 1083
61.185 677
61.195 444
61.205 407
61.215 611
61.225 1125
61.235 1873
61.245 2852
61.255 4144
61.265 5413
61.275 6825
61.285 8133
61.295 9529
61.305 10367
61.315 11152
61.325 11327
61.335 11075
61.345 10328
61.355 9141
61.365 7853
61.375 6102
61.385 4471
61.395 3085
61.405 1892
61.415 1438
61.425 1783
61.435 3156
61.445 5755
61.455 9577
61.465 14747
61.475 21120
61.485 28696
61.495 37104
61.505 46544
61.515 57347
61.525 67494
61.535 77391
61.545 86914
61.555 95719
61.565 103650
61.575 109753
61.585 114409
61.595 117139
61.605 118564
61.615 117598
61.625 114835
61.635 110376
61.645 104820
61.655 97817
61.665 89844
61.675 81631
61.685 72121
61.695 63090
61.705 54139
61.715 45731
61.725 37029
61.735 30036
61.745 23219
61.755 17834
61.765 13229
61.775 9273
61.785 6132
61.795 4089
61.805 2394
61.815 1365
61.825 797
61.835 558
61.845 586
61.855 696
61.865 931
61.875 1083
61.885 1282
61.895 1360
61.905 1387
61.915 1322
61.925 1111
61.935 1047
61.945 893
61.955 717
61.965 451
61.975 342
61.985 191
61.995 157
62.005 134
62.015 147
62.025 175
62.035 258
62.045 332
62.055 441
62.065 488
62.075 560
62.085 562
62.095 603
62.105 545
62.115 521
62.125 431
62.135 385
62.145 322
62.155 255
62.165 160
62.175 115
62.185 78
62.195 53
62.205 60
62.215 88
62.225 126
62.235 153
62.245 193
62.255 255
62.265 277
62.275 338
62.285 351
62.295 336
62.305 310
62.315 316
62.325 246
62.335 239
62.345 197
62.355 138
62.365 108
62.375 65
62.385 49
62.395 52
62.405 43
62.415 52
62.425 97
62.435 107
62.445 142
62.455 186
62.465 193
62.475 206
62.485 223
62.495 240
62.505 235
62.515 219
62.525 212
62.535 170
62.545 137
62.555 128
62.565 104
62.575 52
62.585 40
62.595 44
62.605 25
62.615 34
62.625 50
62.635 63
62.645 85
62.655 115
62.665 139
62.675 151
62.685 188
62.695 188
62.705 153
62.715 175
62.725 157
62.735 150
62.745 130
62.755 104
62.765 97
62.775 60
